Image,Class,Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Contrast,Energy,ASM,Homogeneity,Dissimilarity,Correlation,Coarseness
Image1,0,3.65089416503906,334.971005181872,18.3022131225126,0.184948312429854,5.4789623806949495,30.818269183721,95.24958193979928,0.389262288025172,0.151525128878592,0.6107776804310879,4.02884615384615,0.980474621239296,7.458340731198329e-155
Image2,0,6.53533935546875,619.587844574841,24.891521539971,0.109059009370733,4.27647702615029,18.9005747905553,98.6139705882353,0.293314496659804,0.086033393950794,0.5309411316520071,4.47334558823529,0.981938696883038,7.458340731198329e-155
Image3,0,8.74996948242188,805.957633995078,28.3893929839135,0.266538306720193,3.7181156257623695,14.464617538771801,63.8588158750813,0.475051295953323,0.225673733786932,0.6513520274892609,3.220071567989589,0.9888343956125192,7.458340731198329e-155
Image4,1,1.7907409667968797,248.29709399865501,15.757445668592801,0.007266506757463,8.99358856749565,81.43142383525449,127.261176470588,0.071188623172556,0.005067820069204001,0.393465866399206,4.61411764705882,0.935613581964971,7.458340731198329e-155
Image5,1,3.24298095703125,508.236589748705,22.544103214559303,0.002954063817659001,7.32777635841462,55.285111312005704,157.266917293233,0.045340901934207,0.002055797388207,0.30978967237271005,6.527067669172928,0.925872936092295,7.458340731198329e-155
Image6,1,8.3192138671875,1176.20814578794,34.2958910919069,0.003656878813985,4.649671568664959,22.7913917845455,134.321985446985,0.050714309064865,0.002571941143927,0.313559294125558,6.11304573804574,0.973377928291242,7.458340731198329e-155
Image7,1,7.341094970703128,1143.80821918438,33.8202338724081,0.001466811014785,5.06175041156417,26.479563164553298,81.8672059319178,0.031916712116093,0.001018676512302,0.268274889054872,5.981799797775531,0.978013692812984,7.458340731198329e-155
Image8,1,7.26564025878906,1135.23008159325,33.693175593779394,0.001166811689923,5.0696447608417,26.494926855120106,104.731965811966,0.028452168576497006,0.000809525896705,0.219702070797838,6.757948717948719,0.970220792335384,7.458340731198329e-155
Image9,1,5.78742980957031,939.9831618109939,30.659144831697397,0.001502987438202,5.77076816951026,34.4974798176429,151.73679653679702,0.032304061775399,0.001043552407189,0.241911287382267,7.742857142857139,0.9641686821485128,7.458340731198329e-155
Image10,1,2.0194854736328103,298.976408638382,17.290934290499802,0.0015476502794,9.156112620925642,87.4578138827495,169.655133928571,0.032767674678355,0.001073720503827,0.144854336083414,10.0390625,0.9377646520820871,7.458340731198329e-155
Image11,0,28.1637115478516,2053.27005875837,45.3130230591424,0.06267880607120599,2.09216097657942,4.74844725027433,153.549332611833,0.21886874451105687,0.047903527323847006,0.479365023904178,5.737283549783549,0.974661952527082,7.458340731198329e-155
Image12,0,26.4511871337891,2031.51109115125,45.072287396484,0.07599045525197,2.15363966258156,4.973512124023982,140.401718893342,0.242107605996606,0.058616092881408,0.495814743892766,5.46270098015547,0.977684966777484,7.458340731198329e-155
Image13,0,21.0714263916016,1710.5887685609805,41.3592646037255,0.091279974212815,2.43987210303833,6.307620114873379,149.702933038185,0.26687005591129104,0.07121962674209499,0.494106707675654,5.87858328721638,0.976138305291386,7.458340731198329e-155
Image14,0,15.0777740478516,1362.16172315047,36.90747516629221,0.11207246812405497,2.9230495905715297,8.916125154701279,144.971254355401,0.29765807104438,0.08860032725786099,0.495228095715008,6.00929152148664,0.9778248608944052,7.458340731198329e-155
Image15,0,7.31523132324219,729.540578978274,27.0100088666826,0.14676059584001402,4.28322090823909,19.0791082932465,174.98875598086101,0.343849413865669,0.118232419415764,0.501139540186341,6.83468899521531,0.972788726424128,7.458340731198329e-155
Image16,0,0.207244873046875,5.0121242051273205,2.23877739070398,0.299217462716827,15.2243848533698,285.774220066966,14.9626830420406,0.505700113092694,0.255732604381964,0.705539618232552,1.58904109589041,0.935845867885644,7.458340731198329e-155
Image17,0,5.04685974121094,443.42610478719706,21.057685171623106,0.092034549303918,4.642603983628679,22.147403097404105,99.9956140350877,0.267962299953354,0.071803794196291,0.511448531640446,4.43603801169591,0.97769551460408,7.458340731198329e-155
Image18,0,7.52410888671875,607.395257778402,24.6453901932674,0.214085625648148,3.7298861207408,14.471736054747801,105.077881619938,0.42158745340618,0.177735980869508,0.598169203005808,4.19314641744548,0.976484963476823,7.458340731198329e-155
Image19,0,12.304412841796902,922.746137739561,30.37673678556601,0.128833098715211,2.9300947326401,8.96934763269485,115.203118415508,0.320674560600768,0.102832173816496,0.5322924527410651,4.8803202697008,0.974745237490247,7.458340731198329e-155
Image20,0,15.929473876953098,1069.95024757066,32.710093970679196,0.10765759013777802,2.48400219180961,6.51588946409096,94.8742884250474,0.291321372548541,0.08486814210356597,0.532261672519743,4.2420540796964,0.976774223350244,7.458340731198329e-155
Image21,0,19.9216156005859,1166.12092201469,34.148512735032604,0.094975456825205,2.12917301078744,4.90584417633038,93.81892009474552,0.272485776142609,0.07424849820004,0.526643665810971,4.02716681974187,0.974310317140636,7.458340731198329e-155
Image22,0,21.5260162353516,1181.04064598282,34.366271924414804,0.07185091237549299,2.03013485231497,4.48008817065661,92.5947505584512,0.23505250154306,0.05524967848165,0.5143857557275939,4.00642218912882,0.971967103157625,7.458340731198329e-155
Image23,1,0.2548828125,28.0359326118196,5.294896846192531,0.0077377708592559985,21.200815146362398,457.217760327382,78.8928571428571,0.073366566372051,0.005382653061224,0.17507674805240694,6.8642857142857086,0.806402635317991,7.458340731198329e-155
Image24,1,0.662918090820313,105.59823638574899,10.2761002518343,0.008255578827716,15.6865610261659,247.659453237972,44.472222222222214,0.07586529481867099,0.005755542957924,0.259016652562548,4.90079365079365,0.891415541720684,7.458340731198329e-155
Image25,1,6.3980712890625,855.049313701207,29.241226268766603,0.0024483834093589995,4.99505761021644,25.7003591502913,42.1798245614035,0.041245542966585,0.0017011948146079998,0.32925515531143296,4.25472334682861,0.978963377791063,7.458340731198329e-155
Image26,1,8.4761962890625,1095.7851273195,33.1026453220811,0.0030018911055220004,4.36499992307425,19.6825136630962,72.58878269617709,0.04568508107728,0.002087126633038,0.361431638579309,4.59079476861167,0.967829699641667,7.458340731198329e-155
Image27,1,9.68559265136719,1108.38531664307,33.2924213094072,0.0024930514301560003,3.8979887842889305,15.7406984177947,63.1562998405104,0.04161822882966002,0.0017320769709179998,0.376475580607271,4.543062200956942,0.97009564724067,7.458340731198329e-155
